country,spname,year,source,Introduction_code,iso3c,Reference,
American Samoa,Phytophthora colocasiae,2008,CAB Abstracts,NA,ASM,"Brooks, F. E. 2008 Detached-leaf bioassay for evaluating taro resistance to Phytophthora colocasiae. Plant Disease 92 126-131",
American Samoa,Phytophthora nicotianae,1998,CAB Abstracts,NA,ASM,"Roberts, P. D.; Trujillo, E. 1998 First report of Phytophthora nicotianae causing leaf blight, fruit rot, and root rot of papaya in American Samoa. Plant Disease 82 712",
American Samoa,Phytophthora colocasiae,1998,CAB Abstracts,NA,ASM,"Wall, G. C.; Wiecko, A. T. 1998 Screening of 29 taro cultivars (Colocasia esculenta), propagated in vitro, for resistance to taro leaf blight (Phytophthora colocasiae). Journal of South Pacific Agriculture 5 09-Dec",
American Samoa,Phytophthora colocasiae,NA,"CABI, 2018. Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabi.org/isc/datasheet/40955",Restricted distribution,ASM,"CABI, 2018. Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabi.org/isc/datasheet/40955",
Angola,Phytophthora palmivora,1960,CAB Abstracts,NA,AGO,"TURNER, P. D.  1960 Distribution of strains of Phytophthora palmivora from Theobroma cacao in West Africa. Plant Protection Bulletin, F.A.O. 8 53-54 pp.",
Angola,Phytophthora infestans,NA,"CABI, 2018. Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabi.org/isc/datasheet/40970",Present,AGO,"CABI, 2018. Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabi.org/isc/datasheet/40970",
Antigua and Barbuda,Phytophthora infestans,NA,"CABI, 2018. Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabi.org/isc/datasheet/40970",Present,ATG,"CABI, 2018. Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabi.org/isc/datasheet/40970",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora cinnamomi,1952,CAB Abstracts,NA,ARG,"FREZZI, M. J.  1952 Phytophthora cinnamomi and its relation to the death of Avocados at Urundel (Salta), Argentina. Revista Argentina de Agronomia 19 214-219 pp.",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora capsici,2016,CAB Abstracts,NA,ARG,"Iribarren, M. J.; Borassi, C.; Ferri, A.; González, B.; Steciow, M.; Guillín, E. 2016 Genetic structure of populations of Phytophthora capsici in the northeast of Buenos Aires province, Argentina. RIA, Revista de Investigaciones Agropecuarias 42 102-112",
Argentina,Phytophthora capsici,1958,CAB Abstracts,NA,ARG,"PONTIS, R. E.; FELDMAN, J. M. 1958 ""Zonal rot"" of tomato fruits in Argentina, caused by Phytophthora capsici. Revista Argentina de Agronomia 25 95-100",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2009,CAB Abstracts,NA,ARG,"Greslebin, A. G.; Hansen, E. M. 2009 The decline of Austrocedrus forests in Patagonia (Mal del Ciprés): another Phytophthora-caused forest disease. General Technical Report - Pacific Southwest Research Station, USDA Forest Service NA 64-73",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora capsici,1990,EPPO GD,"Present, no details",ARG,EPPO. (2018). EPPO global database. https://gd.eppo.int/,
Argentina,Phytophthora nicotianae,1964,CAB Abstracts,NA,ARG,"Waterhouse, G. M.; Waterston, J. M. 1964 Phytophthora nicotianae var. parasitica. [Descriptions of Fungi and Bacteria]. IMI Descriptions of Fungi and Bacteria NA Sheet 35",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2016,CAB Abstracts,NA,ARG, 2016 Phytophthora austrocedri. [Distribution map]. Distribution Maps of Plant Diseases NA Map 1186 (Edition 1),
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora colocasiae,NA,"CABI, 2018. Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabi.org/isc/datasheet/40955",Present,ARG,"CABI/EPPO, 2014; EPPO, 2014",
Argentina,Phytophthora austrocedri,2013,CAB Abstracts,NA,ARG,"Manna, L. la; Greslebin, A. G.; Matteucci, S. D. 2013 Applying cost-distance analysis for forest disease risk mapping: Phytophthora austrocedrae as an example. European Journal of Forest Research 132 877-885",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora chlamydospora,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora infestans,1987,CAB Abstracts,NA,ARG,"Mantecón, J. D. 1987 Absence of Phytophthora infestans strains resistant to fungicides of the acylalanine group in Balcarce (Argentina). Revista de la Facultad de Agronomía, Universidad Nacional de La Plata 63 78-81",
Argentina,Phytophthora capsici,1942,CAB Abstracts,NA,ARG,"CARRERA, C. J. M.  1942 A study on the physiology of Phytophthora capsici Leonian, the agent of Chilli 'mildew or blight' in the Argentine. Revista de la Facultad de Agronomia 10 156-193 pp.",
Argentina,Phytophthora cinnamomi,1978,CAB Abstracts,NA,ARG, 1978 Phytophthora cinnamomi. [Distribution map]. Distribution Maps of Plant Diseases NA Map 302,
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora chlamydospora,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2017,CAB Abstracts,NA,ARG,"Henricot, B.; Pérez-Sierra, A.; Armstrong, A. C.; Sharp, P. M.; Green, S. 2017 Morphological and genetic analyses of the invasive forest pathogen Phytophthora austrocedri reveal that two clonal lineages colonized Britain and Argentina from a common ancestral population. Phytopathology 107 1532-1540",
Argentina,Phytophthora nicotianae,2006,CAB Abstracts,NA,ARG,"Lucero, G.; Vettraino, A. M.; Pizzuolo, P.; Vannini, A. 2006 First report of Phytophthora nicotianae on jojoba in Argentina. Plant Pathology 55 295",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora cinnamomi,1953,CAB Abstracts,NA,ARG,"MARCHIONATTO, J. B. 1953 Phytophthora cinnamomi on chestnut in Argentina. Revista Argentina de Agronomia 20 04-Jun",
Argentina,Phytophthora boehmeriae,1941,EPPO GD,"Absent, pest no longer present",ARG,"Frezzi, M. J. (1941) Revista Argentina de Agronomia 8 (3), 200-205",
Argentina,Phytophthora cinnamomi,NA,"CABI, 2018. Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabi.org/isc/datasheet/40957",Present,ARG,"IMI, 1991; EPPO, 2014",
Argentina,Phytophthora ramorum,2009,CAB Abstracts,NA,ARG,"Rizzo, D.; Fichtner, E. 2009 Phytophthora in forests and natural ecosystems of the Americas. General Technical Report - Pacific Southwest Research Station, USDA Forest Service NA 35-44",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora cactorum,1992,EPPO GD,"Present, widespread",ARG,EPPO. (2018). EPPO global database. https://gd.eppo.int/,
Argentina,Phytophthora chlamydospora,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora citricola,1966,CAB Abstracts,NA,ARG,"Waterhouse, G. M.; Waterston, J. M. 1966 Phytophthora citricola. [Descriptions of Fungi and Bacteria]. IMI Descriptions of Fungi and Bacteria NA Sheet 114",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora pinifolia,2011,CAB Abstracts,NA,ARG,"Frankel, S. J.; Hansen, E. M. 2011 Forest phytophthora diseases in the Americas: 2007-2010. New Zealand Journal of Forestry Science 41 S159-S167",
Argentina,Phytophthora megasperma,1966,CAB Abstracts,NA,ARG,"Waterhouse, G. M.; Waterston, J. M. 1966 Phytophthora megasperma. [Descriptions of Fungi and Bacteria]. IMI Descriptions of Fungi and Bacteria NA Sheet 115",
Argentina,Phytophthora infestans,1950,CAB Abstracts,NA,ARG,"CASTRONOVO, A.  1950 Sources of resistance to Phytophthora infestans. Revista de Investigaciones Agricoles 4 245-275 pp.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora megasperma,1950,CAB Abstracts,NA,ARG,"FREZZI, M. J.  1950 The species of Phytophthora in Argentina. Revista de Investigaciones Agricoles 4 47-133 pp.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora citricola,1991,CAB Abstracts,NA,ARG, 1991 Phytophthora citricola. [Distribution map]. Distribution Maps of Plant Diseases NA Map 437,
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora infestans,1948,CAB Abstracts,NA,ARG, 1948 Notes of interest for the work of selection of Potatoes resistant to Phytophthora infestans. Hoja inform. Minist. Agric. 10 3 pp.,
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora sojae,1999,EPPO GD,Detailed record NA,ARG,EPPO Reporting Service No. 02  7th ICPP: new or detailed geographical records concerning quarantine pests,
Argentina,Phytophthora citrophthora,2013,CAB Abstracts,NA,ARG,"Fawcett, H. S.; Bitancourt, A. A. 2013 Occurrence, pathogenicity, and temperature relations of Phytophthora species on citrus in Brazil and other South American countries. Citrus Research and Technology 34 75-88",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora citrophthora,2001,Phytothreats global occurrence database,NA,ARG, GBIF.org (2018) GBIF Occurrence Download https://doi.org/10.15468/dl.dqsr1u,
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora cinnamomi,1985,EPPO GD,"Present, no details",ARG,"Anon. (1985) Publicacion Miscelanea Estacion Experimental Agro-Industrial ""Obispo Colombres"" de Tucuman No. 73, 197 pp.",
Argentina,Phytophthora uniformis,2011,CAB Abstracts,NA,ARG,"Frankel, S. J.; Hansen, E. M. 2011 Forest phytophthora diseases in the Americas: 2007-2010. New Zealand Journal of Forestry Science 41 S159-S167",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora infestans,2010,CAB Abstracts,NA,ARG,"Champouret, N. 2010 Functional genomics of Phytophthora infestans effectors and Solanum resistance genes. Functional genomics of <i xmlns=""http://www.w3.org/1999/xhtml"">Phytophthora infestans</i> effectors and <i xmlns=""http://www.w3.org/1999/xhtml"">Solanum</i> resistance genes NA 162 pp.",
Argentina,Phytophthora hibernalis,1964,EPPO GD,"Present, no details",ARG,"Waterhouse GM, Waterston JM (1964) Phytophthora hibernalis. IMI Descriptions of Fungi and Bacteria. Sheet 31. CABI, Wallingford (GB).",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora nicotianae,2014,CAB Abstracts,NA,ARG,"Lucero, G.; Boiteux, J.; Pizzuolo, P.; Hapon, M. V. 2014 Effect of copper, zinc and potassium phosphites on the mycelium growth of Phytophthora nicotianae in olive tree dry branch disease. Acta Horticulturae NA 437-442",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora nicotianae,2013,CAB Abstracts,NA,ARG,"Palmucci, H. E.; Grijalba, P. E.; Wolcan, S. M. 2013 Basal rot of Chamelaucium uncinatum caused by Phytophthora nicotianae in Argentina. Australasian Plant Disease Notes 8 35-37",
Argentina,Phytophthora infestans,1950,CAB Abstracts,NA,ARG,"CASTRONOVO, A. 1950 Sources of resistance to Phytophthora infestans. Rev. Inves. agric. 4 245-75",
Argentina,Phytophthora capsici,1940,CAB Abstracts,NA,ARG,"GODOY, E. F. 1940 Mildew of pimiento caused by Phytophthora capsici in Argentina. Revista de la Facultad de Agronomia 24 235-80",
Argentina,Phytophthora capsici,1932,CAB Abstracts,NA,ARG,"LINDQUIST, J. C.  1932 On the presence of . Phytophthora capsici in the Argentine Republic. Physis 11 170-174 pp.",
Argentina,Phytophthora cinnamomi,1952,CAB Abstracts,NA,ARG,"FREZZI, M. J. 1952 Phytophthora cinnamomi and its association with the death of avocado trees at Urundel (Salta), Argentina. Revista Argentina de Agronomia 19 214-19",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2014,CAB Abstracts,NA,ARG,"Vélez, M. L.; Coetzee, M. P. A.; Wingfield, M. J.; Rajchenberg, M.; Greslebin, A. G. 2014 Evidence of low levels of genetic diversity for the Phytophthora austrocedrae population in Patagonia, Argentina. Plant Pathology 63 212-220",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2010,CAB Abstracts,NA,ARG,"Greslebin, A. G.; Hansen, E. M. 2010 Pathogenicity of Phytophthora austrocedrae on Austrocedrus chilensis and its relation with mal del ciprés in Patagonia. Plant Pathology 59 604-612",
Argentina,Phytophthora austrocedri,2011,CAB Abstracts,NA,ARG,"Frankel, S. J.; Hansen, E. M. 2011 Forest phytophthora diseases in the Americas: 2007-2010. New Zealand Journal of Forestry Science 41 S159-S167",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora infestans,2016,CAB Abstracts,NA,ARG,"Andrade, A. J.; Capezio, S. B.; Huarte, M. A. 2016 Characterization of potato parents based on combining ability and heterosis for searching resistance to Phytophthora infestans. Revista de la Facultad de Ciencias Agrarias, Universidad Nacional de Cuyo 48 Sep-20",
Argentina,Phytophthora ramorum,2011,CAB Abstracts,NA,ARG,"Frankel, S. J.; Hansen, E. M. 2011 Forest phytophthora diseases in the Americas: 2007-2010. New Zealand Journal of Forestry Science 41 S159-S167",
Argentina,Phytophthora chlamydospora,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora syringae,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora infestans,2007,CAB Abstracts,NA,ARG,"Caldiz, D. O.; Rolon, D. A.; Rico, J. di; Andreu, A. B. 2007 Performance of dimethomorph+mancozeb applied to seed potatoes in early management of late blight (Phytophthora infestans). Potato Research 50 59-70",
Argentina,Phytophthora gonapodyides,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora palmivora,2014,CAB Abstracts,NA,ARG,"Lucero, G.; Pizzuolo, P.; Boiteux, J.; Hapon, M. V. 2014 Susceptibility of Phytophthora palmivora associated with root disease of some olive trees cultivars. Acta Horticulturae NA 431-436",
Argentina,Phytophthora chlamydospora,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora chlamydospora,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora citrophthora,1950,CAB Abstracts,NA,ARG,"FREZZI, M. J.  1950 The species of Phytophthora in Argentina. Revista de Investigaciones Agricoles 4 47-133 pp.",
Argentina,Phytophthora chlamydospora,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora colocasiae,1950,EPPO GD,"Present, no details",ARG,"Frezzi, M. J. (1950) Revista de Investigaciones Agricolas, Buenos Aires 4, 47-133.        ",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora cryptogea,2013,CAB Abstracts,NA,ARG, 2013 Phytophthora cryptogea. [Distribution map]. Distribution Maps of Plant Diseases NA Map 99 (Edition 2),
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
Argentina,Phytophthora austrocedri,2001,Phytothreats global occurrence database,NA,ARG,"Greslebin, A, pers. comm.",
